Á¾¸ñ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
DKA ,3,6,2,-2,4,4,0,1,3,0,2,-1,5,3,4,-4,1,0,-1,-2,2,-2,0,-2,1,0,4,-4,1,1,-3
HIVE ,0,2,4,2,-4,2,0,0,1,2,2,-4,8,1,0,-4,-2,-2,-2,-2,2,0,6,2,-1,2,0,0,-1,3,-3
KAVA ,8,5,4,-2,2,4,2,2,6,-6,2,-4,4,6,0,-2,0,1,2,2,-1,2,6,2,4,2,4,0,-1,3,0
AHT ,0,4,2,1,8,5,-4,0,4,-4,1,-5,6,4,2,-1,0,-3,6,-4,0,3,0,4,4,0,4,-1,3,3,2
LINK ,6,4,8,-4,4,2,2,0,4,-4,6,-4,4,2,-2,-4,-4,0,-4,2,-4,-2,4,-2,2,0,2,0,1,3,5
XTZ ,2,0,4,0,4,6,-2,-2,8,-2,0,-6,10,0,-4,0,-4,0,-2,4,-8,0,6,0,0,-1,1,0,5,1,3
BORA ,2,3,0,0,2,4,-4,-1,2,0,3,0,2,-2,4,0,0,-2,0,0,0,1,4,2,0,0,4,-2,3,3,-3
JST ,2,8,6,0,4,4,2,6,8,-6,-2,-3,6,4,1,-2,-2,0,-2,-2,-3,-1,3,0,0,0,4,1,5,5,5
CRO ,4,7,5,0,2,8,-2,3,4,-3,6,-2,6,0,-4,-4,-2,1,0,-2,1,0,4,0,-1,2,-1,-3,1,1,-3
TON ,4,6,4,0,2,4,2,2,4,-6,1,-2,4,2,2,-4,-4,-2,0,-2,2,-2,-2,2,6,-2,2,-4,3,9,5
SXP ,-2,4,4,-2,4,-1,0,4,8,-2,4,-6,0,0,0,2,-4,4,0,2,0,-4,-2,2,-3,0,2,-3,3,4,3
HUNT ,0,3,6,-2,4,1,-2,-5,0,-3,2,1,2,-2,-2,-2,-2,-2,-2,0,6,-2,2,2,4,2,4,-2,-1,3,-1
PLA ,4,5,2,0,1,3,-2,0,4,-6,6,2,2,4,0,-3,1,2,-4,0,2,2,-4,4,-2,4,5,2,3,5,-4
DOT ,4,2,6,-4,0,4,0,-4,4,-6,2,-2,6,-2,-4,-4,0,-2,-2,2,-4,-2,4,-2,0,4,0,3,5,5,3
SRM ,4,4,6,-4,-6,4,-4,4,4,-4,2,0,0,4,-2,-4,-6,2,-2,-2,-3,2,0,2,-2,1,2,0,3,7,5
MVL ,0,8,2,0,4,4,0,-2,4,-2,4,-1,4,-1,2,3,-2,-2,2,2,-2,0,-2,2,-3,0,0,-6,2,1,2
STRAX ,-2,2,2,0,-2,10,2,2,3,0,2,-4,2,0,-2,-4,0,-3,2,0,2,-1,2,2,4,0,2,0,7,1,5
AQT ,2,8,0,-2,0,6,-2,0,2,0,4,0,1,4,6,-4,-2,-6,-2,2,2,-2,-2,2,5,-2,2,-4,3,5,-3
GLM ,4,0,4,6,0,6,-2,0,4,0,1,-6,6,2,-2,2,-3,0,2,4,-1,-3,3,2,-2,4,4,4,7,3,1
SSX ,5,5,3,-2,3,1,-2,-3,2,0,2,-1,4,3,2,-4,-4,2,0,-4,-2,-2,-2,2,2,0,2,0,1,3,1
META ,6,1,-1,-4,2,4,-2,-1,4,-5,6,-2,6,4,1,-1,-2,2,-2,-2,2,-2,0,2,1,0,6,2,1,7,4
FCT2 ,2,6,2,0,6,3,-4,-2,3,-4,0,-2,2,-2,2,0,2,-2,-3,-2,3,2,1,-2,0,0,0,0,1,5,3
CBK ,4,4,6,1,0,0,2,-4,3,-4,6,-2,4,3,2,-4,-2,-1,0,-4,2,-3,-1,1,2,-2,-2,-2,5,1,-5
SAND ,-1,4,3,2,-8,-1,-7,1,7,-5,5,-1,5,3,-1,-3,-4,5,-7,-5,-2,1,5,3,0,1,1,7,-2,2,-4
HUM ,5,5,5,-2,1,3,3,1,3,-5,3,-3,5,3,1,-1,0,-3,1,-3,2,-2,2,0,2,2,4,-1,-1,3,2
DOGE ,2,-1,-3,4,2,3,0,1,0,-6,4,-2,2,6,-2,-2,-4,-1,-2,-2,-7,-3,1,0,-4,1,0,-2,-3,-1,5
STRK ,-2,0,2,0,-2,4,0,7,0,-2,0,-4,4,8,0,-6,-2,0,0,-2,0,4,2,0,2,4,2,-6,3,1,1
PUNDIX ,-5,5,10,-3,0,3,-2,1,4,0,-1,-1,1,2,-3,-6,-3,1,4,1,2,2,2,4,-2,3,-1,-2,0,2,4
FLOW ,-2,2,2,6,-3,0,-1,-3,1,-3,5,-7,3,-1,-2,-7,-7,-1,-3,1,-1,-4,0,-2,2,-4,2,0,2,2,-2
DAWN ,-2,2,4,-1,3,3,-1,1,2,-3,4,-5,5,4,-1,-5,-3,1,-1,-3,-3,0,4,0,4,-2,2,0,6,0,2
AXS ,-2,0,4,0,-5,-3,-1,1,1,-5,5,-1,1,1,3,-9,3,-1,-3,1,-3,-2,0,0,2,-2,4,4,2,0,-2
STX ,0,4,7,0,-5,5,1,3,1,-1,5,-1,5,7,-3,-5,-7,1,-3,1,3,-2,2,0,-2,-3,4,0,6,2,2
XEC ,1,0,6,4,-4,4,-6,5,4,-6,2,-6,4,4,-4,-4,-6,-1,0,-4,-2,-2,4,2,1,-1,2,5,3,6,3
SOL ,2,2,0,0,-2,0,-2,0,-2,-2,0,0,0,0,3,-3,-1,-1,-1,1,3,0,2,0,2,-2,0,2,2,0,1
MATIC ,0,2,2,-2,2,0,0,1,-2,0,0,-2,0,0,1,-3,1,1,0,1,-1,0,2,-2,2,0,0,2,0,-2,1
NU ,0,0,-2,0,-2,2,0,-2,-2,-2,2,-2,2,-2,1,-1,-1,-1,1,-1,-1,-2,2,-2,1,-2,0,0,-2,0,-1
AAVE ,0,-2,0,0,-2,-2,2,2,0,-2,0,-2,0,2,0,0,2,0,0,-2,0,-1,1,-1,1,-1,2,2,0,0,-1
1INCH ,2,-2,-2,0,-2,0,2,2,-2,0,2,-2,0,2,0,0,0,0,0,0,2,-1,1,-1,1,-1,2,-2,0,-2,-1
ALGO ,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,0,0,-2,0,-1,1,-1,1,-1,1,1,1,1,0
NEAR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0
sum,262,403,403,-33,211,409,-59,87,429,-371,277,-335,428,213,20,-304,-223,29,-115,-80,-203,-74,177,105,8,136,263,10,264,304,159
