date , open, high, low, close, volume, high%, low%, close%
60 2017-11-24 Fri , 8945000.0 , 9670000.0 , 7182000.0 , 9195000.0 , 22584.05850985 , 8.105% , -19.709% , 2.795%
61 2017-11-25 Sat , 9195000.0 , 9908000.0 , 8930000.0 , 9879000.0 , 13583.46813243 , 7.754% , -2.882% , 7.439%
62 2017-11-26 Sun , 9879000.0 , 10750000.0 , 9751000.0 , 10344000.0 , 21616.95893054 , 8.817% , -1.296% , 4.707%
63 2017-11-27 Mon , 10339000.0 , 11320000.0 , 10333000.0 , 11314000.0 , 19495.17150332 , 9.488% , -0.058% , 9.430%
64 2017-11-28 Tue , 11315000.0 , 12074000.0 , 11111000.0 , 12048000.0 , 31149.61770187 , 6.708% , -1.803% , 6.478%
65 2017-11-29 Wed , 12050000.0 , 13750000.0 , 10800000.0 , 11104000.0 , 46072.10048672 , 14.108% , -10.373% , -7.851%
66 2017-11-30 Thu , 11114000.0 , 12550000.0 , 10017000.0 , 11935000.0 , 41015.72824001 , 12.921% , -9.870% , 7.387%
67 2017-12-01 Fri , 11935000.0 , 12680000.0 , 11201000.0 , 12532000.0 , 30105.44287949 , 6.242% , -6.150% , 5.002%
68 2017-12-02 Sat , 12532000.0 , 13180000.0 , 12350000.0 , 12971000.0 , 29070.16589351 , 5.171% , -1.452% , 3.503%
69 2017-12-03 Sun , 12970000.0 , 13529000.0 , 12840000.0 , 13128000.0 , 26158.44322038 , 4.310% , -1.002% , 1.218%
70 2017-12-04 Mon , 13120000.0 , 13688000.0 , 13119000.0 , 13684000.0 , 23034.66918821 , 4.329% , -0.008% , 4.299%
71 2017-12-05 Tue , 13683000.0 , 14794000.0 , 13612000.0 , 14645000.0 , 27842.82483202 , 8.120% , -0.519% , 7.031%
72 2017-12-06 Wed , 14645000.0 , 19006000.0 , 14645000.0 , 18390000.0 , 46874.81572282 , 29.778% , 0.000% , 25.572%
73 2017-12-07 Thu , 18389000.0 , 23860000.0 , 17965000.0 , 23791000.0 , 55171.05694429 , 29.751% , -2.306% , 29.376%
74 2017-12-08 Fri , 23795000.0 , 24967000.0 , 16521000.0 , 20260000.0 , 101681.96225121 , 4.925% , -30.569% , -14.856%
75 2017-12-09 Sat , 20259000.0 , 20877000.0 , 15257000.0 , 17769000.0 , 57286.61272035 , 3.050% , -24.690% , -12.291%
76 2017-12-10 Sun , 17769000.0 , 18537000.0 , 13744000.0 , 17661000.0 , 87737.90180131 , 4.322% , -22.652% , -0.608%
77 2017-12-11 Mon , 17661000.0 , 19989000.0 , 17520000.0 , 19307000.0 , 49104.26522594 , 13.182% , -0.798% , 9.320%
78 2017-12-12 Tue , 19307000.0 , 19549000.0 , 18497000.0 , 18940000.0 , 37765.66828121 , 1.253% , -4.195% , -1.901%
79 2017-12-13 Wed , 18943000.0 , 19301000.0 , 17379000.0 , 18358000.0 , 38816.44091324 , 1.890% , -8.256% , -3.088%
80 2017-12-14 Thu , 18356000.0 , 19312000.0 , 18101000.0 , 18660000.0 , 39274.3089533 , 5.208% , -1.389% , 1.656%
81 2017-12-15 Fri , 18664000.0 , 21558000.0 , 18539000.0 , 20075000.0 , 53514.06078424 , 15.506% , -0.670% , 7.560%
82 2017-12-16 Sat , 20080000.0 , 22475000.0 , 19810000.0 , 22205000.0 , 41694.09111338 , 11.927% , -1.345% , 10.583%
83 2017-12-17 Sun , 22208000.0 , 22961000.0 , 21000000.0 , 21881000.0 , 35122.33783135 , 3.391% , -5.439% , -1.472%
84 2017-12-18 Mon , 21881000.0 , 22280000.0 , 20980000.0 , 22087000.0 , 39510.42923015 , 1.823% , -4.118% , 0.941%
85 2017-12-19 Tue , 22086000.0 , 23741000.0 , 20450000.0 , 22367000.0 , 48064.50573599 , 7.493% , -7.407% , 1.272%
86 2017-12-20 Wed , 22385000.0 , 23299000.0 , 20600000.0 , 22638000.0 , 41426.79458212 , 4.083% , -7.974% , 1.130%
87 2017-12-21 Thu , 22638000.0 , 23950000.0 , 20750000.0 , 22200000.0 , 43263.77604079 , 5.796% , -8.340% , -1.935%
88 2017-12-22 Fri , 22200000.0 , 22840000.0 , 16105000.0 , 19089000.0 , 79976.23837469 , 2.883% , -27.455% , -14.014%
89 2017-12-23 Sat , 19090000.0 , 21120000.0 , 18312000.0 , 20525000.0 , 58485.96741678 , 10.634% , -4.075% , 7.517%
90 2017-12-24 Sun , 20523000.0 , 20770000.0 , 18499000.0 , 19592000.0 , 47643.13660186 , 1.204% , -9.862% , -4.536%
91 2017-12-25 Mon , 19589000.0 , 19950000.0 , 19210000.0 , 19822000.0 , 36350.71167524 , 1.843% , -1.935% , 1.189%
92 2017-12-26 Tue , 19820000.0 , 22750000.0 , 19730000.0 , 21933000.0 , 54654.19806036 , 14.783% , -0.454% , 10.661%
93 2017-12-27 Wed , 21932000.0 , 22650000.0 , 21074000.0 , 21970000.0 , 37639.65248022 , 3.274% , -3.912% , 0.173%
